Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=107, sum[0...107]=5778, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=108, sum[0...108]=5886, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=109, sum[0...109]=5995, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=110, sum[0...110]=6105, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=111, sum[0...111]=6216, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=112, sum[0...112]=6328, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=113, sum[0...113]=6441, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=114, sum[0...114]=6555, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=115, sum[0...115]=6670, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=116, sum[0...116]=6786, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=117, sum[0...117]=6903, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=118, sum[0...118]=7021, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=119, sum[0...119]=7140, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=120, sum[0...120]=7260, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=121, sum[0...121]=7381, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=122, sum[0...122]=7503, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=123, sum[0...123]=7626, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=124, sum[0...124]=7750, running on core:0
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=125, sum[0...125]=7875, running on core:2
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=126, sum[0...126]=8001, running on core:3
Mar 13 13:18:41 raspberrypi [COURSE:1][ASSIGNMENT:3]: Thread idx=127, sum[0...127]=8128, running on core:0
